ID #,Question ID,Date,Tags,Notes,难度,Company,Link,以后可以再也不用看了
1,1. A + B Problem ,6-Aug-21,,,Naive,,https://www.lintcode.com/problem/1/,Y
6,6. Merge Two Sorted Arrays ,17-Jun-21,,,Easy,,https://www.lintcode.com/problem/6/,
9,9. Fizz Buzz,6-Aug-21,String,,Easy,,https://www.lintcode.com/problem/9/,
14,14. First Position of Target ,26-Jun-21,双指针,,Easy,,https://www.lintcode.com/problem/14/,
35,35. Reverse Linked List ,5-Aug-21,Linked List,,Easy,,https://www.lintcode.com/problem/35/,
37,37. Reverse 3-digit Integer ,30-Jun-21,,,Naive,,https://www.lintcode.com/problem/37/,
53,53. Reverse Words in a String ,8-Aug-21,String,,Easy,,https://www.lintcode.com/problem/53/,
66,66. Binary Tree Preorder Traversal,10-Aug-21,Binary tree,全局变量,Easy,,https://https://www.lintcode.com/problem/66/,
74,74. First Bad Version ,26-Jun-21,双指针,,Medium,,https://www.lintcode.com/problem/74/,
75,75. Find Peak Elements ,26-Jun-21,双指针,,Medium,,https://www.lintcode.com/problem/75/,
97,97. Maximum  depth of binary tree,11-Aug-21,"Binary tree, Recursive",借助递归函数参量,Easy,,https://www.lintcode.com/problem/97/,
116,116. Jump Game ,7-Aug-21,"String, 双指针",,Medium,,https://www.lintcode.com/problem/116/,
146,146. Lowercase to Uppercase II ,7-Aug-21,String,,Naive,,https://www.lintcode.com/problem/146/,
165,165. Merge Two Sorted Lists ,5-Aug-21,Linked List,,Easy,,https://www.lintcode.com/problem/165/,
170,170. Rotate List ,7-Aug-21,Linked List,,Medium,,https://www.lintcode.com/problem/170/,
219,219. Insert Node in Sorted Linked List,6-Aug-21,Linked List,,Easy,,https://www.lintcode.com/problem/219/,
225,225. Find Node in Linked List ,8-Aug-21,Linked List,,Naive,,https://www.lintcode.com/problem/225/,
228,228. Middle of Linked List ,6-Aug-21,"Linked List, 双指针",,Naive,,https://www.lintcode.com/problem/228/,
241,241. String to Integer ,2-Aug-21,String,,Naive,,https://www.lintcode.com/problem/241/,
283,283. Max of 3 Numbers ,3-Aug-21,List,,Naive,,https://www.lintcode.com/problem/283/,
366,366. Fibonacci ,11-Aug-21,,不适合用递归，重复计算呈指数级别上升，用递推就好~ ,Naive,,https://www.lintcode.com/problem/366/,
385,385. Array List ,2-Aug-21,List,,Easy,,https://www.lintcode.com/problem/385/,
415,415. Valid Palindrome ,8-Aug-21,String,,Medium,,https://www.lintcode.com/problem/415/,
423,423. Valid Parentheses ,9-Aug-21,Stack,,Easy,,https://www.lintcode.com/problem/423/,
447,447. Search in Big Sorted Array,26-Jun-21,双指针,,Medium,,https://www.lintcode.com/problem/447/,
452,452. Remove Linked List Elements ,6-Aug-21,Linked List,,Easy,,https://www.lintcode.com/problem/452/,
455,455. Student ID ,3-Jul-21,OOD,,Easy,,https://www.lintcode.com/problem/455/,
457,457. Classical Binary Search ,26-Jun-21,"Binary Search, 双指针",,Easy,,https://www.lintcode.com/problem/457/,
458,458. Last Position of Target ,26-Jun-21,双指针,,Easy,,https://www.lintcode.com/problem/458/,
459,459. Closest Number in Sorted Array ,26-Jun-21,双指针,,Easy,,https://www.lintcode.com/problem/459/,
460,460. Find K Closest Elements ,26-Jun-21,双指针,,Medium,,https://www.lintcode.com/problem/460/,
481,481. Binary Tree Leaf Sum,11-Aug-21,"Binary tree, Recursive",,Easy,,https://www.lintcode.com/problem/481/,
483,483. Convert Linked List to Array List,8-Aug-21,Linked List,,Easy,,https://www.lintcode.com/problem/483/,
484,484. Swap Two Integers in Array ,2-Aug-21,List,,Naive,,https://www.lintcode.com/problem/484/,
492,492. Implement Queue by Linked List,9-Aug-21,Queue,用linkedlist build up 队列,Easy,,https://www.lintcode.com/problem/492/,
541,541. Zigzag Iterator II,11-Aug-21,"Queue, Vector, 双指针",method1. 自己写 method2. deque里自带的iterator,Medium,Google,https://www.lintcode.com/problem/541/,classic
766,766. Leap Year ,6-Aug-21,,,Easy,,https://www.lintcode.com/problem/766/,
936,936. Capitalizes The First Letter ,8-Aug-21,String,,Easy,,https://www.lintcode.com/problem/936/,
958,958. Palindrome Data Stream ,8-Aug-21,String,,Easy,,https://www.lintcode.com/problem/958/,
1540,1540. Can Convert ,8-Aug-21,String,,Easy,,https://www.lintcode.com/problem/1540/,
1781,1781. Reverse ASCII Encoded Strings,8-Aug-21,String,,Easy,,https://www.lintcode.com/problem/1781/,
1784,1784. Decrease To Be Palindrome ,8-Aug-21,String,,Easy,,https://www.lintcode.com/problem/1784/,
1819,1819. Longest Semi Alternating Substring ,8-Aug-21,String,,Easy,,https://www.lintcode.com/problem/1819/,
1851,1815. Threhold Alerts ,17-Jun-21,,,Easy,,https://www.lintcode.com/problem/1815/,
1886,1886. Moving Target ,17-Jun-21,,,Easy,,https://www.lintcode.com/problem/1886/,
1901,1901. Squares of a Sorted Array ,17-Jun-21,,,Easy,,https://www.lintcode.com/problem/1901/,
